Time,Learning rate,Train loss,Validation loss,MAE_HOMO-B3LYP,MAE_LUMO-B3LYP,MAE_Gap-B3LYP
917.6442997455597,0.0001,0.6936939240862235,0.3735028008541181,0.2094010603424352,0.221913968728415,0.28269917556664403
1810.5203652381897,0.0001,0.2950563058983772,0.2526147215267144,0.17276477977908924,0.18214357775979437,0.2267218214616559
2701.2552483081818,0.0001,0.20070163344253905,0.25283533578473494,0.1777471092498386,0.17089611326844112,0.23798555685443232
3604.068739414215,0.0001,0.1517203536608102,0.1614562446569614,0.14589336114116877,0.14897223470407348,0.1899335733209946
4490.483764410019,0.0001,0.11653340541805635,0.15348870937986434,0.13473952219173493,0.139856933441707,0.16839775932990383
5380.012696266174,0.0001,0.09912196263120882,0.09224473881619959,0.11282749151514997,0.11177956922880573,0.13856511546688036
6273.891901254654,0.0001,0.08309878892569045,0.09270038703501508,0.1139661794109609,0.1147768954734181,0.13762078826802737
7168.582746505737,0.0001,0.07496098840891437,0.08367962033152354,0.10538162031559901,0.10825114149342864,0.13044626853655283
8063.694993495941,0.0001,0.06646650232832096,0.07956207554505444,0.10761250878932696,0.10957015176650786,0.12780138089074
8966.186748743057,0.0001,0.05964139760377324,0.06903144679851887,0.09787604181042746,0.09886654822287236,0.11962476871862786
9863.204320192337,0.0001,0.055470341244418596,0.06552256561530717,0.09733438632441822,0.09405650147739998,0.11684020297594638
10756.046123743057,0.0001,0.05045961566235761,0.05864784370005168,0.09163309025047223,0.0851817113676041,0.10779609689681414
11668.506614923477,0.0001,0.049189928336022794,0.06544251187562024,0.09821945347736143,0.09138599215667327,0.11766206695753101
12564.335825681686,0.0001,0.04371006892113234,0.05374077739965325,0.08662888895263743,0.08179845743976459,0.10347401684931332
13461.22970032692,0.0001,0.04145971301846229,0.05567623564531027,0.08594040467030582,0.08513985831771534,0.1039989161654011
14351.473460435867,0.0001,0.039514225603223666,0.057577735974784716,0.08933270461099961,0.08487461957610527,0.10776707418566148
15241.600494146347,0.0001,0.036761579090391024,0.04890048761539906,0.08231584236819747,0.08028829833256039,0.09873786754335398
16141.158237695694,0.0001,0.034757625812109366,0.049184722594013144,0.07921680889081247,0.08506269965186662,0.09934384390614076
17036.370792388916,0.0001,0.03286890653069366,0.04618752321923202,0.0808399963341198,0.07637453459007092,0.09541118723968528
17943.392949819565,0.0001,0.03130224265760671,0.04478218074438241,0.07564301669740996,0.075552432430003,0.09525561113130351
18831.149919986725,0.0001,0.029404849408681967,0.04384946741768635,0.0759222493964666,0.07777927036977544,0.09585099494210962
19721.94487261772,0.0001,0.029464566706873894,0.03972300563619862,0.07356404210987812,0.0725188481510756,0.08861356918853198
20618.494718313217,0.0001,0.028198621243904366,0.04104352307066558,0.072107920776604,0.07040726788490033,0.08693751833097849
21513.063963651657,0.0001,0.02641951741135742,0.04890238104930727,0.07878419118696015,0.07634825771774247,0.09596743297017564
22414.15967488289,0.0001,0.026972946166049474,0.04174191202817256,0.07487500720630741,0.08051583233001483,0.09168791892308648
